,source_name,url,title,date,words_count,words_converted,ratio,topic,author,gender_author,headline,counter_list,pers_pron_fem,pers_pron_masc,deter_pron_fem,deter_pron_masc,noun_fem,noun_masc,adj_conn_fem,adj_conn_masc,title_fem,title_masc,rt_pers_pron_fem,rt_pers_pron_masc,rt_deter_pron_fem,rt_deter_pron_masc,rt_noun_fem,rt_noun_masc,rt_adj_conn_fem,rt_adj_conn_masc,rt_title_fem,rt_title_masc,sum_rt_noun,sum_rt_adj,sum_rt_title,sum_rt_global_bias,max_rt,max_rt_cat,min_rt,min_rt,source_ml,topic_ml,sex_ml,fem_noun_arr,Male_noun_arr,adj_fem_arr,adj_masc_arr,title_fem_arr,title_masc_arr
4,the irish times,https://www.irishtimes.com/life-and-style/food-and-drink/it-s-the-most-eagerly-anticipated-sandwich-of-the-year-here-s-how-to-make-yours-epic-1.4381001,"""It’s the most eagerly anticipated sandwich of the year. Here’s how to make yours epic""",2020-12-24,518,10,1.931,food and drinks,Ali Dunworth,female,"""There’s more to the Christmas sandwich than turkey and ham, as these expert makers explain""","""{' he ': 4, ' his ': 2, 'He’ll': 1, 'His ': 1, 'he’s': 1, ' his.': 1}""",0,6,0,4,0,0,0,0,0,0,0,60,0,40,0,0,0,0,0,0,0,0,0,0,60,per pron masc,40,deter masc,8,3,1,0,0,0,0,0,0
5,abc news,https://abcnews.go.com/Entertainment/wireStory/queen-elizabeth-pays-tribute-kindness-strangers-74909445,"""Queen Elizabeth pays tribute to 'kindness of strangers'""",2020-12-25,482,21,4.357,people,PAN PYLAS Associated Press,male,"""Queen Elizabeth II has delivered a heartfelt message of hope in her Christmas address, praising the “indomitable spirit” of those who have risen “magnificently” to the challenges of the pandemic""","""{' her ': 8, 'queen': 6, ' she ': 3, 'Queen': 1, 'husband': 1, 'Prince ': 1, ' she does': 1}""",4,0,8,0,7,2,0,0,0,0,19,0,38,0,33,10,0,0,0,0,43,0,0,7,38,deter fem,10,masc noun,1,6,0,"""""""Female nouns = ['queen', 'Queen']""""""","""""""Male nouns = ['husband', 'Prince ']""""""",NaN,NaN,NaN,NaN
6,reuters,https://www.reuters.com/article/us-japan-usa-taiwan-china/japan-official-calling-taiwan-red-line-urges-biden-to-be-strong-idUSKBN28Z0JR,"""Japan official, calling Taiwan 'red line,' urges Biden to 'be strong'""",2020-12-25,632,6,0.949,politics,Ju-min Park,male,None,"""{' his ': 2, ' he ': 1, 'spokesman': 1, 'spokeswoman': 1, ' she ': 1}""",1,1,0,2,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,7,7,0,"""""""Female nouns = ['spokeswoman']""""""","""""""Male nouns = ['spokesman']""""""",NaN,NaN,NaN,NaN
8,the irish times,https://www.irishtimes.com/sport/other-sports/dave-hannigan-muhammad-ali-s-eight-days-in-prison-before-christmas-1.4443943,"""Dave Hannigan: Muhammad Ali’s eight days in prison before Christmas""",2020-12-24,904,51,5.642,people,Dave Hannigan,male,"""In 1968 he learned ‘the only real equality is in the jail . . . and in the graveyard’""","""{' his ': 18, ' him ': 10, ' he ': 9, 'he’d': 2, 'He ': 2, ' man.': 1, '(he was': 1, ' he was': 1, 'himself': 1, ' men,': 1, 'Boy': 1, ' man ': 1, ' him.': 1, ' men ': 1, 'wife': 1}""",0,15,0,30,1,5,0,0,0,0,0,29,0,59,2,10,0,0,0,0,12,0,0,2,59,deter masc,2,fem noun,8,6,0,"""""""Female nouns = ['wife']""""""","""""""Male nouns = [' men ', ' man ', ' man.', ' men,', 'Boy']""""""",NaN,NaN,NaN,NaN
9,al jazeera,https://www.aljazeera.com/opinions/2020/12/26/how-much-do-people-actually-care-about-health-workers,"""How much do people actually care about health workers?""",2020-12-26,952,0,0.000,health,Sabreen Akhter,female,"""Doctors and nurses are spent, and not in a way that a few days off or a round of nightly applause can restore.""",0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,4,1,0,0,0,0,0,0
11,the new york times,https://www.nytimes.com/2020/12/25/nyregion/pandemic-drinking-alcoholism.html,"""‘Vodka in Your Coffee Cup’: When Pandemic Drinking Goes Too Far""",2020-12-25,946,42,4.440,local news,Alix Strauss,female,"""Some women are seeking to regain control over their alcohol habits after months of laissez-faire consumption.""","""{' she ': 10, ' her ': 7, 'Ms': 6, ' women ': 6, 'She ': 2, 'mommy': 1, 'Mom ': 1, ' sons': 1, 'Women': 1, ' men,': 1, ' his ': 1, ' he ': 1, ' she was ': 1, ' her,': 1, 'mother': 1, 'husband': 1}""",13,1,8,1,10,3,0,0,6,0,31,2,19,2,24,7,0,0,14,0,31,0,14,8,31,pers pron fem,2,per pron masc,9,5,1,"""""""Female nouns = [' women ', 'mother', 'Women', 'Mom ', 'mommy']""""""","""""""Male nouns = ['husband', ' men,', ' sons']""""""",NaN,NaN,"""""""Female titles = ['Ms']""""""",NaN
12,the new york times,https://www.nytimes.com/2019/11/20/technology/personaltech/green-environmental-tech.html,"""Want the Greenest Device? You May Already Own It""",2020-11-20,1093,2,0.183,technology,Gabby Jones,female,"""One way to help the planet is not to buy new tech, especially stuff the planet never needed, says Kendra Pierre-Louis, who reports on the environment.""","""{'she’s': 1, ' men’': 1}""",1,0,0,0,0,1,0,0,0,0,50,0,0,0,0,50,0,0,0,0,50,0,0,8,50,pers pron fem,50,pers pron fem,9,9,1,NaN,"""""""Male nouns = [' men’']""""""",NaN,NaN,NaN,NaN
14,cnn,https://edition.cnn.com/travel/article/augustus-tomb-rome-opening/index.html,"""Biggest circular tomb in the ancient world to open in Rome""",2020-12-25,864,15,1.736,travel,Julia Buckley,female,"""QUESTS WORLD OF WONDER""","""{' his ': 6, 'emperor': 4, ' he ': 2, 'He was ': 1, 'His ': 1, ' him ': 1}""",0,3,0,8,0,4,0,0,0,0,0,20,0,53,0,27,0,0,0,0,27,0,0,4,53,deter masc,20,per pron masc,4,10,1,NaN,"""""""Male nouns = ['emperor']""""""",NaN,NaN,NaN,NaN
15,cnn,https://edition.cnn.com/travel/article/singapore-business-travel-corridor/index.html,"""Singapore announces plans to allow entry to business travelers from all countries""",2020-12-15,307,2,0.651,travel,Akanksha Sharma,female,None,"""{' his ': 1, 'He ': 1}""",0,1,0,1,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,50,per pron masc,50,per pron masc,4,10,1,NaN,NaN,NaN,NaN,NaN,NaN
16,cnn,https://edition.cnn.com/2020/12/25/business/china-power-shortage-intl-hnk-dst/index.html,"""China turns off the lights in 'Christmas town' as officials race to meet energy targets""",2020-12-25,1375,8,0.582,business,Nectar Gan,female,None,"""{' he ': 4, ' his ': 2, ' she ': 1, 'wife': 1}""",1,4,0,2,1,0,0,0,0,0,13,50,0,25,13,0,0,0,0,0,13,0,0,2,50,per pron masc,13,pers pron fem,4,1,1,"""""""Female nouns = ['wife']""""""",NaN,NaN,NaN,NaN,NaN
